이름,주차가능대수,위도,경도
범1-10(주거지),7,35.1399746,129.0537139
범6-1(주거지),7,35.13806421,129.0524328
범일4동 제2공영,28,35.14346251,129.0495404
범6-2(주거지),11,35.13806421,129.0524328
가구거리 공영,64,35.13613716,129.0553244
범일5동-업무지-1구간,20,35.13017922,129.0572018
범2-1(주거지),20,35.13474282,129.0574088
범5-6(주거지),16,35.13307981,129.0572704
범일5동 시간제주차장,23,35.13372866,129.0566329
범5-4(주거지),8,35.13307981,129.0572704
범일5동-업무지-3구간,11,35.13307981,129.0572704
범5-2(주거지),30,35.13307981,129.0572704
자성대 서문옆,9,35.13629864,129.0602475
범일2동-업무지-3구간,5,35.13505717,129.0611816
범일2동-업무지-5구간,7,35.13574371,129.0604485
눌원빌딩옆,25,35.1366352,129.065039
SK텔레콤앞,13,35.13676626,129.0630589
한양삼익아파트옆,22,35.1409748,129.0610412
한양아파트3호동뒤,20,35.1409748,129.0610412
한양아파트3호동앞,26,35.1409748,129.0610412
행복예식장옆,12,35.1409748,129.0610412
화신칼라앞 공영주차장,48,35.13884173,129.0599298
자유시장 뒤,32,35.1409748,129.0610412
범일2동-업무지-2구간,1,35.13842132,129.0655668
범일전화국뒤,6,35.13771728,129.0624598
LIG사옥옆,21,35.13827371,129.0640755
SK증권앞,17,35.13956561,129.0610276
범일2동 제1노상공영주차장,34,35.13809798,129.0650803
범일2동 제2노상공영주차장,9,35.13809798,129.0650803
범6-3(주거지),8,35.13806421,129.0524328
수1-3(주거지),8,35.12565292,129.0413632
수정1동공영,54,35.12482562,129.0389031
수1-1(주거지),3,35.12565538,129.0375768
수3-6(주거지),29,35.12898178,129.0416876
수4-2(주거지),5,35.12839417,129.0397643
수1-4(주거지),13,35.12588446,129.0396008
수4-3(주거지),29,35.12839417,129.0397643
국일주택뒤,60,35.1284546,129.0389585
수4-1(주거지),15,35.12735777,129.0388039
수4-4(주거지),24,35.12780372,129.0367221
수정5동공영,49,35.13711518,129.0456733
수5-10(주거지),4,35.13741216,129.0464442
수5-9(주거지),6,35.13570193,129.0437642
수5-8(주거지),20,35.13270046,129.0453997
수정초등학교 지하공영주차장,52,35.13126498,129.0467291
수5-6(주거지),17,35.13196105,129.044999
수5-3(주거지),5,35.11972158,129.0294443
수성초등학교지하공영주차장,54,35.13455159,129.0427218
수5-5(주거지),7,35.13581194,129.0430122
수5-11(주거지),30,35.13462549,129.0419733
수5-7(주거지),27,35.13239793,129.0434622
수5-1(주거지),8,35.11972158,129.0294443
수5-2(주거지),8,35.13408742,129.0413895
수5-4(주거지),13,35.1336043,129.0405393
수정산(동여중)공영,52,35.13294221,129.0404701
수3-8(주거지),8,35.13143257,129.0427799
수3-3(주거지),9,35.13292321,129.0439492
수3-2(주거지),15,35.13271179,129.0417368
동구체육공원,51,35.1323287,129.0385856
수정2동공영,28,35.1305959,129.0391654
수정2동제2공영,38,35.13014573,129.0419229
수3-7(주거지),2,35.13005029,129.0418108
수3-5(주거지),17,35.13034357,129.0423754
수정2동 업무지,9,35.12748664,129.0480474
동구청 공영,142,35.12929577,129.0452977
수2-1(주거지),18,35.12943335,129.0439805
수3-4(주거지),6,35.1285545,129.0437259
수3-1(주거지),7,35.13292321,129.0439492
수정4동공영,38,35.1273455,129.0416731
수4-5(주거지),28,35.12583928,129.0427104
제7기동대앞고가도로밑,29,35.12974704,129.0544179
좌1-6(주거지),8,35.13268688,129.0538992
세방텔레콤앞,35,35.1301641,129.0529936
봉생병원옆,12,35.13086132,129.0505627
수정터널진입로밑,21,35.13134533,129.0564589
수정터널밑,75,35.13130178,129.0558391
초량6동공영,47,35.13134562,129.0485696
독도주차장,42,35.13563677,129.0529467
좌1-1(주거지),24,35.13610235,129.0535508
